"RACE_COMB","COUNT","COUNT_se","county"
"AAPI",239,87.4584051532705,"Santa Barbara"
"Black",152,108.811735436378,"Santa Barbara"
"Latino",6438,475.969743253125,"Santa Barbara"
"Two or More",73,40.9267391620248,"Santa Barbara"
"White",1643,237.119247999456,"Santa Barbara"
"AAPI",8497,494.266319715106,"Santa Clara"
"Black",1172,227.401118601205,"Santa Clara"
"Latino",18177,830.118427018187,"Santa Clara"
"Other",14,13.9999999992476,"Santa Clara"
"Two or More",703,163.538195537873,"Santa Clara"
"White",2665,276.136041180838,"Santa Clara"
"AAPI",84,37.3094742223743,"Santa Cruz"
"Black",49,37.1618007625657,"Santa Cruz"
"Latino",2701,392.87027065372,"Santa Cruz"
"Two or More",130,55.4075116678095,"Santa Cruz"
"White",1071,254.468861130917,"Santa Cruz"
"AAPI",121,54.4517542507998,"Shasta"
"AIAN",154,80.162275636523,"Shasta"
"Latino",308,109.343285735967,"Shasta"
"Two or More",184,71.9165080647018,"Shasta"
"White",2022,301.621929879692,"Shasta"
"AAPI",1112,227.357305884938,"Solano"
"AIAN",60,60.0000000022973,"Solano"
"Black",1708,294.636104699008,"Solano"
"Latino",1941,289.811942975195,"Solano"
"Two or More",173,52.124705719077,"Solano"
"White",641,116.536604613619,"Solano"
"AAPI",380,98.2136724419968,"Sonoma"
"AIAN",4,3.16227713512813,"Sonoma"
"Black",87,87.000000001642,"Sonoma"
"Latino",3009,426.398982038363,"Sonoma"
"Two or More",89,88.9999999975289,"Sonoma"
"White",1827,245.815351219382,"Sonoma"
"AAPI",454,110.769548001773,"Stanislaus"
"AIAN",83,49.8497498858795,"Stanislaus"
"Black",354,200.783348362269,"Stanislaus"
"Latino",6154,504.481109922464,"Stanislaus"
"Other",49,49.0000000018225,"Stanislaus"
"Two or More",202,68.8184571726042,"Stanislaus"
"White",2485,307.323341313783,"Stanislaus"
"AAPI",599,232.80642493676,"Tulare"
"AIAN",45,32.2955021102783,"Tulare"
"Black",160,108.747378728796,"Tulare"
"Latino",10442,680.698125575273,"Tulare"
"Two or More",254,90.5315903052396,"Tulare"
"White",1090,152.083383506423,"Tulare"
"AAPI",933,163.47028241142,"Ventura"
"AIAN",86,59.9499616059275,"Ventura"
"Black",176,71.3301176157041,"Ventura"
"Latino",16331,783.227808889249,"Ventura"
"Other",9,8.99999999954541,"Ventura"
"Two or More",329,104.818634797553,"Ventura"
"White",2351,244.622107483571,"Ventura"
"AAPI",1405,246.86826788946,"Yolo"
"Black",320,156.435152350486,"Yolo"
"Latino",2094,284.3863904052,"Yolo"
"Two or More",164,80.0998668569895,"Yolo"
"White",1599,259.190321490977,"Yolo"
"AAPI",102962,1845.23964274118,"California"
"AIAN",3376,329.635791619606,"California"
"Black",53815,1528.07598005964,"California"
"Latino",612123,4825.87232621712,"California"
"Other",3273,413.728375342708,"California"
"Two or More",17527,780.550701197378,"California"
"White",115223,2037.14330750909,"California"
