"YEAR","COUNTYFIP","RACE_COMB","MULT","MULT_se"
2021,75,"Black",4.98523985239852,1.59118336708375
2021,75,"Latino",7.57312252964427,2.34895278192738
2021,75,"Other",Inf,NA
2021,75,"Two or More",4.73913043478261,2.2515700578044
2021,75,"White",14.6166666666667,7.49051328075893
2021,77,"AAPI",10.7699115044248,3.0131219308784
2021,77,"AIAN",1.35294117647059,0.432512228915277
2021,77,"Black",5.19424460431655,1.46332875809758
2021,77,"Latino",5.45833333333333,0.753924075947109
2021,77,"Other",2.69117647058824,1.95925238851862
2021,77,"Two or More",9.68,6.82799001224864
2021,77,"White",3.66031746031746,1.17631339349666
2021,79,"AAPI",Inf,NA
2021,79,"AIAN",NA,NA
2021,79,"Black",Inf,NA
2021,79,"Latino",10.9027777777778,7.45823201386185
2021,79,"Other",Inf,NA
2021,79,"Two or More",4.33333333333333,3.95867650759232
2021,79,"White",4.36486486486486,1.30629728637188
2021,81,"AAPI",4.0862676056338,0.774114228974823
2021,81,"AIAN",NA,NA
2021,81,"Black",7.35483870967742,7.04305372155985
2021,81,"Latino",5.3979057591623,0.907206912762217
2021,81,"Other",Inf,NA
2021,81,"Two or More",Inf,NA
2021,81,"White",5.4054054054054,1.79029925661435
2021,83,"AAPI",24.5882352941176,24.6173551107918
2021,83,"AIAN",NA,NA
2021,83,"Black",Inf,NA
2021,83,"Latino",3.5825710158883,0.44145987619511
2021,83,"Other",NA,NA
2021,83,"Two or More",2.41666666666667,1.67082859540775
2021,83,"White",9.96842105263158,5.83622635612775
2021,85,"AAPI",9.20121951219512,1.56042759192418
2021,85,"AIAN",Inf,NA
2021,85,"Black",14.1034482758621,8.44753964462791
2021,85,"Latino",5.35683690280066,0.545494496788937
2021,85,"Other",7.4,7.86723377196664
2021,85,"Two or More",4.04444444444444,1.57484436671774
2021,85,"White",13.7142857142857,5.68442520137817
2021,87,"AAPI",Inf,NA
2021,87,"AIAN",NA,NA
2021,87,"Black",Inf,NA
2021,87,"Latino",5.70350404312669,1.83398709315253
2021,87,"Other",NA,NA
2021,87,"Two or More",3.30769230769231,2.16750314116724
2021,87,"White",6.21481481481482,2.46304495598592
2021,89,"AAPI",1.72413793103448,0.670607194434293
2021,89,"AIAN",1.78,0.927362103436112
2021,89,"Black",NA,NA
2021,89,"Latino",Inf,NA
2021,89,"Other",NA,NA
2021,89,"Two or More",5.85714285714286,6.03391938962111
2021,89,"White",16.972602739726,8.10638015042823
2021,95,"AAPI",8.31578947368421,3.23382954624181
2021,95,"AIAN",NA,NA
2021,95,"Black",10.3571428571429,5.45114569707636
2021,95,"Latino",6.96659242761693,1.79533687583432
2021,95,"Other",NA,NA
2021,95,"Two or More",4.0983606557377,1.85830030588177
2021,95,"White",3.6028880866426,1.15741280015258
2021,97,"AAPI",Inf,NA
2021,97,"AIAN",NA,NA
2021,97,"Black",Inf,NA
2021,97,"Latino",5.11776061776062,1.68953835089619
2021,97,"Other",NA,NA
2021,97,"Two or More",2.06481481481481,1.0808236466582
2021,97,"White",6.69312169312169,3.13414439626496
2021,99,"AAPI",5.20967741935484,4.39870501483822
2021,99,"AIAN",NA,NA
2021,99,"Black",7.5,7.28131006267071
2021,99,"Latino",3.81559405940594,0.568386766372676
2021,99,"Other",Inf,NA
2021,99,"Two or More",12.52,12.028768815846
2021,99,"White",5.71733966745843,1.56804809533885
2021,107,"AAPI",3.01923076923077,2.27358672967472
2021,107,"AIAN",17.5,19.5831613889035
2021,107,"Black",3.69230769230769,3.06065494289842
2021,107,"Latino",3.99083715118701,0.624171539249141
2021,107,"Other",NA,NA
2021,107,"Two or More",9,9.67241473374223
2021,107,"White",10.2830188679245,3.33153737611247
2021,111,"AAPI",7.42857142857143,3.41563859027976
2021,111,"AIAN",Inf,NA
2021,111,"Black",9,8.65829240912284
2021,111,"Latino",4.29019734713685,0.421765065235678
2021,111,"Other",Inf,NA
2021,111,"Two or More",4.32989690721649,2.20530940944169
2021,111,"White",6.31962025316456,1.56141713221313
2021,113,"AAPI",44.48,44.2521261888227
2021,113,"AIAN",NA,NA
2021,113,"Black",Inf,NA
2021,113,"Latino",5.91011235955056,1.91949922915152
2021,113,"Other",NA,NA
2021,113,"Two or More",Inf,NA
2021,113,"White",18.2222222222222,10.2212299417588
